caixa,setor,ano_producao,codigo_original,codigo_normalizado,codigo_valido_na_ttd,numero_documento_processo,interessado,assunto_processo,fase_corrente,fase_intermediaria,destinacao_final,requer_revisao_manual
..001,GAF,2009.0,2008-11-01 00:00:00,,nao,AVULSOS – 07 LIVROS ENCADERNADOS,TRIBUNAL DE CONTAS,RELATÓRIOS DA CDTIV – CONSELHO FISCAL,05 ANOS,-,Guarda permanente,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7124/2014,ÁGILE,RAP Nº 2108/2014 – PAGAMENTO NF Nº 00195 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REF. A JANEIRO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7166/2014,ÁGILE,RAP Nº 2161/2014 – PAGAMENTO NOTA FISCAL – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REF. A FEVEREIRO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7192/2014,ÁGILE,RAP Nº 2197/2014 – PAGAMENTO NF Nº 00215 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A MARÇO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7230/2014,ÁGILE,RAP Nº 2245/2014 – PAGAMENTO NF Nº 00226 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A ABRIL/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7278/2014,ÁGILE,RAP Nº 2309/2014 – PAGAMENTO NF Nº 00237 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A MAIO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7292/2014,ÁGILE,RAP Nº 2331/2014 – PAGAMENTO NF Nº 00253 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A JUNHO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7324/2014,ÁGILE,RAP Nº 2197/2014 – PAGAMENTO NF Nº 00271 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A JULHO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7444/2014,ÁGILE,RAP Nº 2421/2014 / PAGAMENTO NF Nº 00295- ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A AGOSTO/2014,05 ANOS,52 ANOS,Eliminação,sim
..002,NRH,2014.0,2008-03-01 00:00:00,,nao,7471/2014,ÁGILE,RAP Nº 2466/2014 – PAGAMENTO NF Nº 00310 – ÁGILE SERVIÇOS E LIMPEZA LTDA – ME REFERENTE A SETEMBRO/2014,05 ANOS,52 ANOS,Eliminação,sim
