codigo,classe,serie,assunto,especie,fase_corrente,fase_intermediaria,destinacao_final,legislacao,observacao,status
01.01.01,01 - Atividades-Meio,01.01 AÇÃO FISCAL,Auto de Apreensão,Processo,06 anos,-,Eliminação,-,-,vigente
01.01.02,01 - Atividades-Meio,01.01 AÇÃO FISCAL,Auto Infração – Geral,Processo ATA,02 anos,10 anos,Eliminação,-,"Antes da eliminação, verificar se tramita ação judicial pertinente ao auto de infração",vigente
01.01.03,01 - Atividades-Meio,01.01 AÇÃO FISCAL,Impugnação de Auto Infração – Geral,Processo,02 anos,10 anos,Eliminação,"Art. 150,§ 4º da Lei 5172 de 25/10/1966","Antes da eliminação, verificar se tramita ação judicial pertinente ao auto de infração",vigente
01.01.04,01 - Atividades-Meio,01.01 AÇÃO FISCAL,Mandado de Segurança de Ação Fiscal,Dossiê,Enquanto tramita,05 anos,Eliminação,-,A vigência esgota-se com o término das fases recursal e executória das ações judiciais em andamento,vigente
01.01.05,01 - Atividades-Meio,01.01 AÇÃO FISCAL,Petição de prazo de Lei,Dossiê,Enquanto tramita,05 anos,Eliminação,-,A vigência esgota-se com o término das fases recursal e executória das ações judiciais em andamento,vigente
01.02.01,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Abandono de cargo,Processo,05 anos,52 anos,Eliminação,-,-,vigente
01.02.02,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Abono de falta,Processo,05 anos,52 anos,Eliminação,-,-,vigente
01.02.03,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Ajuda de Custo,Processo,05 anos,-,Eliminação,-,-,vigente
01.02.04,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Autorização de realização cursos / treinamentos / eventos,Processo,05 anos,-,Eliminação,-,-,vigente
01.02.05,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Autorização para participar de pós-graduação,Processo,05 anos,52 anos,Eliminação,-,-,vigente
01.02.06,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Autorização para prestação de Serviços Extraordinários,Formulário,01 ano,-,Eliminação,-,-,vigente
01.02.07,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Avaliação de desempenho,Formulário,01 ano,-,Eliminação,-,-,vigente
01.02.08,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Aviso de férias,Formulário,01 ano,-,Eliminação,Constituição Federal Art. 7º§ XXIX,Pode aparecer como Relação anual de férias de servidores,vigente
01.02.09,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Comparecimento de servidor perante órgão administrativo/ Judicial/ Policial,Processo,05 anos,-,Eliminação,-,-,vigente
01.02.10,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Comunicação de reinício de atividades após afastamento,Processo,05 anos,-,Eliminação,-,-,vigente
01.02.11,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Diárias / Passagens aéreas,Processo,05 anos,-,Eliminação,-,-,vigente
01.02.12,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Elogio,Processo,01 ano,-,Eliminação,-,-,vigente
01.02.13,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Extensão de carga horária,Processo,05 anos,52 anos,Eliminação,-,-,vigente
01.02.14,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Férias,Formulário,02 anos,-,Eliminação,-,Após Definição e Registro,vigente
01.02.15,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Frequência Mensal,Boletim,01 ano,-,Eliminação,-,Após o recebimento pelo Servidor do pagamento do respectivo mês,vigente
01.02.16,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Indicação de Representante de Conselho/Comissão,Processo,02 anos,-,Eliminação,-,-,vigente
01.02.17,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Licença – Afastamento para campanha eleitoral,Processo,05 anos,52 anos,Eliminação,-,-,vigente
01.02.18,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Licença – Casamento,Processo,05 anos,52 anos,Eliminação,-,-,vigente
01.02.19,01 - Atividades-Meio,01.02 ADMINISTRAÇÃO DE PESSOAL (Subsérie: Direitos e Vantagens),Licença – Com vencimento,Processo,05 anos,52 anos,Eliminação,-,-,vigente
